"uri"	"language"	"interactivity_type"	"interactivity_level"	"learning_resource_type"	"title"	"description"	"age_range"
"http://www.nibis.de/nibis.phtml?menid=108"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1094"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Evaluation SLQ"	"Konzept (2003 - 2005) für die Erstqualifizierung neu ernannter Schulleiterinnen und Schulleiter"	">18"
"http://www.nibis.de/nibis.phtml?menid=111"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=112"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1121"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1122"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Ausbildung und Studium"	"Informationen und Unterstützungsangebote für Schüler, Lehrer und Betriebe rund um die Ausbildung in einem der Handwerksberufe. Ein Berufstarterpaket bietet Tipps zur optimalen Bewerbung und Infos zur Ausbildung."	">18"
"http://www.nibis.de/nibis.phtml?menid=1123"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1124"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Materialien, Medien"	"Materialien und Medien zur Sprachförderung"	">18"
"http://www.nibis.de/nibis.phtml?menid=1125"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Schulbereich"	"Materialien zur Feststellung des Sprachstandes"	">18"
"http://www.nibis.de/nibis.phtml?menid=1127"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: DaZ Rahmenrichtlinien"	"In Niedersachsen sind zum Februar 2003 Rahmenrichtlinien für Deutsch als Zweitsprache eingeführt worden. Die didaktisch-methodische Orientierung dieser Rahmenrichtlinien werden landesweit multipliziert. Der offene Stil der Richtlinien soll in Unterrichtskonzepte umgesetzt werden, die den Qualitätsstandards dieses Faches genügen."	">18"
"http://www.nibis.de/nibis.phtml?menid=1128"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Unterrichtsmaterialien"	"Fördermaterialien"	">18"
"http://www.nibis.de/nibis.phtml?menid=1129"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=113"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1130"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1131"	"en"	"null"	"null"	"[]"	"404 Not Found"	"The requested URL /nibis2/nibis.php was not found on this server."	">18"
"http://www.nibis.de/nibis.phtml?menid=1132"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1133"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Lernen mit Medien"	"Ziel von Medienbildung ist es, Schülerinnen und Schüler für die Wissens- gesellschaft zu qualifizieren. Perspektive ist eine Lernkultur, in deren Zentrum problemorientiertes, selbstgesteuertes und kooperatives Lernen und die Vermittlung von Medienkompetenz stehen. "	">18"
"http://www.nibis.de/nibis.phtml?menid=114"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=115"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1151"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=116"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1199"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1200"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Fächer"	"Medienbildung hat in der Schule nur dann eine Chance, wenn es gelingt, die \\\\"	">18"
"http://www.nibis.de/nibis.phtml?menid=1215"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1224"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Deutsch"	"Hilfestellung bei inhaltlichen sowie didaktisch-methodischen Fragen zur Arbeit mit und über Medien im Deutschunterricht zu geben und ein Forum für Anregungen zu bieten, ist Funktion bzw. Ziel dieser Seiten."	">18"
"http://www.nibis.de/nibis.phtml?menid=1225"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Musik"	"Die Berücksichtigung der neuen Medien in der Musikausbildung ist erforderlich, zum Einen, weil sie zum Alltag gehören, zum Anderen, weil sie das Grundverhältnis des Menschen zur Welt neu bestimmen. "	">18"
"http://www.nibis.de/nibis.phtml?menid=1226"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Englisch"	"englisch"	">18"
"http://www.nibis.de/nibis.phtml?menid=1227"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1242"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: PISA"	"Die OECD-Leistungsstudie PISA"	">18"
"http://www.nibis.de/nibis.phtml?menid=1243"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Bildungsrat"	"Empfehlungen des niedersächsischen Bildungsrates zu bildungspolitischen Zielen, Inhalten und Organisationsformen."	">18"
"http://www.nibis.de/nibis.phtml?menid=1252"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1280"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1281"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1283"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1308"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1309"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Religion"	"Hinweise und Materialien zum Lernen mit Medien im Religionsunterricht"	">18"
"http://www.nibis.de/nibis.phtml?menid=1310"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Politik"	"Hinweise und Materialien zum Lernen mit Medien im Politikunterricht"	">18"
"http://www.nibis.de/nibis.phtml?menid=1317"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Sprachstand"	"Sprachstandsfeststellungsverfahren"	">18"
"http://www.nibis.de/nibis.phtml?menid=1318"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Vorbereitung"	"Vorbereitung, Mterialien zur vorschulischen Sprachförderung"	">18"
"http://www.nibis.de/nibis.phtml?menid=1319"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Förderplanung"	"Pädagogische Beobachtung und individuelle Förderplanung"	">18"
"http://www.nibis.de/nibis.phtml?menid=1320"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Elternarbeit"	"Elternarbeit"	">18"
"http://www.nibis.de/nibis.phtml?menid=1322"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Kooperation  Grundschule und Kindergarten"	"In diesem Bereich finden Sie Materialien für die Kooperation von Grundschule mit Kindertagesstätten und Kindergärten bei der vorschulischen Sprachförderung."	">18"
"http://www.nibis.de/nibis.phtml?menid=1329"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1332"	"de"	"null"	"null"	"[]"	"Geb�rdenSchrift"	"Geb�rdenSchrift lesen und schreiben lernen"	"16-17"
"http://www.nibis.de/nibis.phtml?menid=134"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Fort- und Weiterbildung"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1349"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Kunsterziehung"	"Medien im Fach Kunst in Niedersachsen"	">18"
"http://www.nibis.de/nibis.phtml?menid=1369"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Politische Bildung in der Mediengesellschaft"	"Medien spielen eine zentrale Rolle bei der Gestaltung des individuellen und gesellschaftlichen Lebens in Vergangenheit und Gegenwart. Schülerinnen und Schüler müssen deshalb über ein grundlegendes Verständnis für die Bedeutung der Medien verfügen."	">18"
"http://www.nibis.de/nibis.phtml?menid=1370"	"de"	"null"	"null"	"[narrative text]"	"Niedersächsischer Bildungsserver: Schule ohne Rassismus"	"Niedersächsische Schulprojekte gegen Rassismus"	">18"
"http://www.nibis.de/nibis.phtml?menid=1377"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Chat der Welten"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1378"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Projekte, Materialien"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1381"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Biologie"	"Lernen mit neuen Medien im Biologieunterricht"	">18"
"http://www.nibis.de/nibis.phtml?menid=1384"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1385"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Bildung für nachhaltige Entwicklung in Niedersachsen"	"Bildung für eine nachhaltige Entwicklung (BNE) in Niedersachsen, Zusammen mit 12 weiteren Bundesländern beteiligt sich Niedersachsen an dem 4-jährigen Programm der Bund-Länder-Kommission für Bildungsplanung und Forschungsförderung (BLK)"	">18"
"http://www.nibis.de/nibis.phtml?menid=1386"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Beruflich Reisende"	"Betreuung der Kinder von beruflich Reisenden in Niedersachsen, es gibt Stammschulen und Stützpunktschulen, die Beratung der Eltern und Schulen erfolgt über mobile Bereichslehrkräften, die Kinder haben ein Schultagebuch, dass sie von Schule zu Schule begleitet."	">18"
"http://www.nibis.de/nibis.phtml?menid=1387"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1391"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1392"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1393"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1397"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver: Gewalt an Schulen"	"Informationsbasis für Schülerinnen und Schüler, Lehrkräfte und Eltern zum Thema "	">18"
"http://www.nibis.de/nibis.phtml?menid=1405"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1412"	"de"	"null"	"null"	"[]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1418"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Online- Materialien"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1435"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Zusammenarbeit Kindergarten - Grundschule"	"In diesem Portal werden die wesentlichen Materialien und Internetlinks für die Zusammenarbeit dokumentiert, ein Diskussionsforum für aktuelle Fragen zur Verfügung gestellt und Hinweise auf Veranstaltungen gegeben."	">18"
"http://www.nibis.de/nibis.phtml?menid=1436"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1439"	"de"	"null"	"null"	"[narrative text, video, table]"	"Portal Niedersachsen"	"und 25. April ist US-Präsident Barack Obama in Hannover zu Gast. Er besucht die niedersächsische Landeshauptstadt anlässlich der Hannover Messe. Obama wird gemeinsam mit Bundeskanzlerin Merkel die Messe eröffnen. 22.04.2016 Lies: „Wir wollen bis Jahresende Baurecht für die Ortsumgehung Celle“ 22.04.2016 Meldepflichtiges Ereignis im AKW Emsland (KKE) 22.04.2016 Umweltministerium: 10 Millionen Euro für die Entwicklung von Seen 22.04.2016 Aktionstage gegen Schwarzarbeit in Niedersachsen 22.04.2016 „Wir machen die Musik!“ bei Evaluation erfolgreich 22.04.2016 Lies: „Planungen für Bau der A 39 schreiten voran: Ich freue mich schon auf den ersten Spatenstich“ 22.04.2016 Sprachförderung für Flüchtlinge an Schulen 22.04.2016 Ministerin sieht große Chancen für Spitzenforschung in Niedersachsen 22.04.2016 Segenswünsche von Doris Schröder-Köpf für die jüdischen Gemeinden in Niedersachsen zum Pessach-Fest 22.04.2016 Zitat des Ministers zur polizeilichen Begleitung von Groß- und Schwerlasttransporten aus seiner heutigen Bundesratsrede „Wir sprechen türkisch, kurdisch, russisch, polnisch, englisch, tamilisch, serbisch, arabisch,  niederländisch, persisch…“ – vielsprachig begrüßt der Verein Refugium Wesermarsch auf seiner Homepage Menschen, die in seinem Landstrich landen."	">18"
"http://www.nibis.de/nibis.phtml?menid=1441"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Erkennen und Beraten"	"Ansprechpartner für Lehrkräfte und Eltern, die Informationen und Beratung über das frühzeitige Erkennen und Fördern von besonderen Begabungen anbieten."	">18"
"http://www.nibis.de/nibis.phtml?menid=1446"	"de"	"null"	"null"	"[image, table]"	"Niedersächsischer Bildungsserver: Kooperationsverbünde"	"Auch hoch begabte Kinder benötigen in der Schule Unterstützung und Förderung, um ihre Begabung entfalten zu können.
Grundschulen, Orientierungsstufen und Gymnasien haben sich zu Kooperationsverbünden zusammengeschlossen, um besonders begabte Mädchen und Jungen von der Grundschule an zu fördern und zu begleiten."	">18"
"http://www.nibis.de/nibis.phtml?menid=1447"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Zettelkasten"	"Denkanstöße und Beispiele, die Unterrichtsentwicklung mit Blick auf Individualisierung/Hochbegabungsförderung unterstützen können."	">18"
"http://www.nibis.de/nibis.phtml?menid=1452"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: - Informationen"	"Denkanstöße und Beispiele, die Unterrichtsentwicklung mit Blick auf Individualisierung/Hochbegabungsförderung unterstützen können."	">18"
"http://www.nibis.de/nibis.phtml?menid=1453"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: - Selbststeuerung"	"Denkanstöße und Beispiele, die Unterrichtsentwicklung mit Blick auf Individualisierung/Hochbegabungsförderung unterstützen können."	">18"
"http://www.nibis.de/nibis.phtml?menid=1454"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Fördern und Unterstützen"	"Ansprechpartner für Lehrkräfte und Eltern, die Informationen und Beratung über das frühzeitige Erkennen und Fördern von besonderen Begabungen anbieten."	">18"
"http://www.nibis.de/nibis.phtml?menid=1455"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Begleiten"	"Ansprechpartner für Lehrkräfte und Eltern, die Informationen und Beratung über das frühzeitige Erkennen und Fördern von besonderen Begabungen anbieten."	">18"
"http://www.nibis.de/nibis.phtml?menid=1458"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Berufsorientierung"	"Schule und Beruf
Das Thema Berufsorientierung und Studienwahl beschäftigt viele Schulen. Es entstehen neue Unterstützungsangebote für die unterrichtliche und organisatorische Aufgaben."	">18"
"http://www.nibis.de/nibis.phtml?menid=1459"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Berufsorientierung in Schule"	"schulische Konzepte zur Berufsorientierung"	">18"
"http://www.nibis.de/nibis.phtml?menid=1461"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gender, Beruf und Literatur"	"Kleine Literaturauswahl"	">18"
"http://www.nibis.de/nibis.phtml?menid=1463"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Betriebs- o. Praxistage"	"Informationen zu neuem Grundsatzerlass für die Hauptschule, Schwerpunkt Berufsorientierung"	">18"
"http://www.nibis.de/nibis.phtml?menid=1465"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Berufsorientierung"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1466"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gymnasium"	"Die Gymnasien in Niedersachsen leisten wesentliche Beiträge zur laufenden Schulreform. Die neu entstehenden Arbeitsgrundlagen werden über diese Seiten gebündelt.

Die Entwicklung des Unterrichts u.a. in den Bereichen Darstellendes Spiel und einem mathematisch-naturwissenschaftlich-technischen Schwerpunkt werden seitens des NiLS durch unterschiedliche Qualifizierungsangebote und besondere Projekte in Zusammenarbeit mit außerschulischen Anbietern wie Universitäten oder wirtschaftsnahen Organisationen unterstützt:"	">18"
"http://www.nibis.de/nibis.phtml?menid=1478"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Wirtschaft"	"Zusammenführung aller Fächer die direkten Bezug zum Thema Wirtschaft haben"	">18"
"http://www.nibis.de/nibis.phtml?menid=1487"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1489"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1498"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: MUT"	"landesweites Vorhaben Mathematik"	">18"
"http://www.nibis.de/nibis.phtml?menid=1504"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gender und Gymnasium"	"Die Berufswahlorientierung von Studentinnen zeigt, das die Verbindung von Berufs- und Lebensplanung zu Entscheidungen führt, die Frauen von der Universität als Berufsfeld fern halten."	">18"
"http://www.nibis.de/nibis.phtml?menid=1508"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gender"	"Aktuelle Informationen zu Weiterentwicklung der Diskussion in den Schulen"	">18"
"http://www.nibis.de/nibis.phtml?menid=1509"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Genderkompetenz"	"Begriffsklärung, Verweis auf Vortrag"	">18"
"http://www.nibis.de/nibis.phtml?menid=1510"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Berufsorientierung"	"Der neue Erlass fordert Schulen auf, den Gender-Aspekt bei allen berufsorientierenden Vorhaben in der Schule zu beachten und den Zukunftstag in das schulische Konzept zur Berufsorientierung einzubinden und aktiv zu gestalten."	">18"
"http://www.nibis.de/nibis.phtml?menid=1511"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gender und Grundschule"	"Gender, Grundschule, nli.-Bericht"	">18"
"http://www.nibis.de/nibis.phtml?menid=1512"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gender und Grundschule"	"Grundschule, Gender, nli-Bericht"	">18"
"http://www.nibis.de/nibis.phtml?menid=1513"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gender und Migration"	"Informationen zu Thematik"	">18"
"http://www.nibis.de/nibis.phtml?menid=1516"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gender und Literatur"	"Aktuelle Literatur zum Thema Gender und Schule, Berufsorientierung, Gender Mainstream und Schule. Links, Verweise"	">18"
"http://www.nibis.de/nibis.phtml?menid=1521"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Gender und Gymnasium"	"Das Gymnasium mit dem Abiturabschluss eröffnet die berufliche Perspektive auf Berufe, die eine akademische Grundbildung erfordern. Es gibt inzwischen mehr Mädchen an Gymnasien als Jungen. Sie machen die besseren Abschlüsse. Das Berufswahlspektrum hat sich bisher nicht nennenswert erweitert und Mädchen nutzen die am Gymnasium erworbene gute Qualifikation nur selten für eine z. B. akademische Laufbahn."	">18"
"http://www.nibis.de/nibis.phtml?menid=1540"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver:"	""	">18"
"http://www.nibis.de/nibis.phtml?menid=1552"	"de"	"null"	"null"	"[table]"	"Niedersächsischer Bildungsserver: Speicherplatz für Schulen"	"Konfigurationsdaten für den Mail- und FTP-Zugang zum Niedersächsischen Bildungsserver (NiBiS)"	">18"
"Antennen_Mobilfunknetz_062.jpg"	"de"	"null"	"null"	"[table]"	""	"Antennen_Mobilfunknetz_062.jpg."	">18"
"Akku_Typen_095.jpg"	"fi"	"null"	"null"	"[table]"	""	"Akku_Typen_095.jpg."	"0-6"
"http://educainternet.es/excursions/274"	"es"	"null"	"null"	"[narrative text, table]"	"VIRUS INFORMÁTICOS - Alumna37 Colegio Santa Joaquina de Vedruna FEC"	"Presentación enriquecida (y gratis) sobre VIRUS INFORMÁTICOS. Esta excursión servirá para analizar qué es un virus, como se expande y como podemos prevenirlos."	">18"
"http://educainternet.es/excursions/245"	"es"	"null"	"null"	"[narrative text, table]"	"Protección ante virus y fraudes - Alumno21 Colegio Santa Joaquina de Vedruna FEC"	"Presentación enriquecida (y gratis) sobre Protección ante virus y fraudes. "	">18"
"http://educainternet.es/excursions/301"	"es"	"null"	"null"	"[narrative text, table]"	"Suplantación de identidad - Alumna24 Colegio Santa Joaquina de Vedruna FEC"	"Presentación enriquecida (y gratis) sobre Suplantación de identidad. "	">18"
"http://educainternet.es/excursions/216"	"es"	"null"	"null"	"[narrative text, table]"	"LOBOS CON PIEL DE CORDERO - José Antonio García Gobierno"	"Presentación enriquecida (y gratis) sobre LOBOS CON PIEL DE CORDERO. Se trata de describir que navegando por Internet nuestros chic@s se pueden encontrar con contenidos inapropiados muchas veces bajo el paraguas de cosas que a ellos les atraen."	">18"
"http://educainternet.es/excursions/83"	"es"	"null"	"null"	"[narrative text, table]"	"Ciberacoso - ALMUDENA"	"Presentación enriquecida (y gratis) sobre Ciberacoso. Transparencia ciberacoso en la escuela
Con contenido de:
-https://www.google.es/search?{google:acceptedSuggestion}oq=caso+jokin&sourceid=chrome&ie=UTF-8&q=caso+jokin
-https://www.google.es/search?q=bullying&source=lnms&tbm=isch&sa=X&ei=2QQxVd-WOY74PLyegPgK&ved=0CAcQ_AUoAQ&biw=1280&bih=923
-https://www.youtube.com/results?search_query=buillyng+en+la+escuela
-Powerpoint ponencia curso acoso escolar cuyo autor es José Luis Carbonell"	">18"
"http://educainternet.es/excursions/99"	"es"	"null"	"null"	"[narrative text, table]"	"UNA CONTRASEÑA EN GOOGLE PLAY - Ana"	"Presentación enriquecida (y gratis) sobre UNA CONTRASEÑA EN GOOGLE PLAY. "	">18"
"http://educainternet.es/excursions/259"	"es"	"null"	"null"	"[narrative text, table]"	"Grooming - Alumna50 Colegio Santa Joaquina de Vedruna FEC"	"Presentación enriquecida (y gratis) sobre Grooming. "	">18"
"http://educainternet.es/excursions/221"	"es"	"null"	"null"	"[narrative text, table]"	"Tecnoadicciones: Los videojuegos - Javier Álvarez"	"Presentación enriquecida (y gratis) sobre Tecnoadicciones: Los videojuegos. En esta miniexcursión evaluaremos como están incidiendo los videojuegos en el rendimiento escolar y en el desarrollo de nuestro alumnado.
Con contenido de:
- http://www.tecnoadicciones.com/02-que-son.php
- http://www.ciberadiccion.es/videojuegos.html
- http://www.tecnoadicciones.com/01-beneficios-riesgos.php
- http://www.tecnoadicciones.com/03-pautas-prevencion.php

"	">18"
