"uri","lom_title","lli_title","title_sim","lom_description","lli_description","description_sim","lom_language","lli_language","language_sim","lom_interactivity_type","lli_interactivity_type","interactivity_type_sim","lom_learning_resource_type","lli_learning_resource_type","learning_resource_type_sim","lom_interactivity_level","lli_interactivity_level","interactivity_level_sim","lom_age_range","lli_age_range","age_range_sim"
"http://vishub.org/excursions/909","Banksy, the british graffiti artist (English Podcast)","Banksy, the british graffiti artist (English Podcast) - Aldo","7","An english podcast about Banksy, the british graffiti artist, to practice english listening. Include quizzes. Content provided by http://www.listen-to-english.com ., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., An english podcast about Banksy, the british graffiti artist, to practice english listening. , License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Banksy, the british graffiti artist (English Podcast). An english podcast about Banksy, the british graffiti artist, to practice english listening. Include quizzes. Content provided by http://www.listen-to-english.com .","0.2777778","en","en","true","mixed","null","","[lecture,  slide,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","16 - 30",">18",""
"http://vishub.org/excursions/908","Banksy Picture Quiz","Banksy Picture Quiz - Aldo","7","Banksy Picture Quiz, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., Banksy Picture Quiz, License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Banksy Picture Quiz. Banksy Picture Quiz","0.06451613","en","en","true","mixed","null","","[lecture,  slide,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","10 - 30",">18",""
"http://vishub.org/excursions/1713","moldeados","moldeados - Angela","9","moldeados. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about moldeados. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1716","la pirámide del SEO","la pirámide del SEO - Ignacio","10","Elementos para mejorar la encontrabilidad de las páginas en buscadores, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., Entender los modos de valoración de la calidad de las páginas Web por los buscadores, License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about la pirámide del SEO. Elementos para mejorar la encontrabilidad de las páginas en buscadores","0.12048193","es","en","false","mixed","null","","[lecture,  slide]","[[narrative text,  table,  FAQ]]","","very high","null","","12 - 30",">18",""
"http://vishub.org/excursions/1958","Modelo- Presentación resumen investigación","Modelo- Presentación resumen investigación - Jose Viñas","13","Modelo de presentación resumen con un ejemplo para que los alumnos puedan presentar una pequeña investigación a sus compañeros.Intentaremos subir nuestras experiencias con ejemplos reales., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Modelo- Presentación resumen investigación. Modelo de presentación resumen con un ejemplo para que los alumnos puedan presentar una pequeña investigación a sus compañeros.
Intentaremos subir nuestras experiencias con ejemplos reales.","0.26744187","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1957","Modelo- Presentación","Modelo- Presentación - Jose Viñas","13","Resumen de la investigación realizada, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Modelo- Presentación. Resumen de la investigación realizada","0.06451613","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1951","Cohetes con botellas de agua","Cohetes con botellas de agua - Luis Vaquerizo","17","Presentación para aprender a hacer cohetes con botellas de plástico., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Cohetes con botellas de agua. Presentación para aprender a hacer cohetes con botellas de plástico.","0.12857144","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","14 - 16",">18",""
"http://vishub.org/excursions/1712","MOLDEADDOS","MOLDEADDOS - Angela","9","MOLDEADDOS. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about MOLDEADDOS. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://www.nibis.de/nibis.phtml?menid=1332","Gebärdensprache","Geb�rdenSchrift","8","Hier werden Sie weitergeleitet auf die Seite des entsprechenden Fachverbandes.","Geb�rdenSchrift lesen und schreiben lernen","0.0","de","de","true","no value","null","","[no value]","[[FAQ,  table]]","","no value","null","","no value","16-17",""
"http://vishub.org/excursions/1718","quiz 2","quiz 2 - Valeria","10","quiz 2. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about quiz 2. ","0.032258064","no value","en","false","mixed","null","","[lecture,  slide,  narrative text,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1717","SAUCE LLORON ","SAUCE LLORON  - NSP1B2015","12","SAUCE LLORON . A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about SAUCE LLORON . ","0.04761905","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1719","prova","prova - Valeria","10","reynolds, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about prova. reynolds","0.0","no value","en","false","mixed","null","","[lecture,  slide,  narrative text,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/924","Amatista","Amatista - 2º ESO IES David Buján","25","Amatista. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Amatista. ","0.016393442","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1985","Gotas de agua en una moneda","Gotas de agua en una moneda - Gabriela Gesto Gomis","23","Gotas de agua en una moneda. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Gotas de agua en una moneda. ","0.09090909","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1984","Experiencia Leche y colorante","Experiencia Leche y colorante - Club de ciencia","18","Resumen de la investigación realizada, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Experiencia Leche y colorante. Resumen de la investigación realizada","0.0625","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1509","Distribución interna de los productos","Distribución interna de los productos - Xabier","9","Distribución interna de los productos. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Distribución interna de los productos. ","0.07692308","es","en","false","mixed","null","","[lecture,  slide,  narrative text,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/926","Xeso","Xeso - 2º ESO IES David Buján","25","Xeso. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Xeso. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1983","tensión superficial-monedas","tensión superficial-monedas - Club de ciencia","18","Resumen de la investigación realizada, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about tensión superficial-monedas. Resumen de la investigación realizada","0.06451613","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/925","Talco","Talco - 2º ESO IES David Buján","25","Talco. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Talco. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/929","hhhhhh","hhhhhh - liuqr","8","ddddddd, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about hhhhhh. ddddddd","0.0","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1736","Encuesta Clubes de ciencia","Encuesta Clubes de ciencia - Jose Viñas","13","Encuesta modelo para valorar nombres de los clubes de ciencia a distancia., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Encuesta Clubes de ciencia. Encuesta modelo para valorar nombres de los clubes de ciencia a distancia.","0.15492958","en","en","true","mixed","null","","[lecture,  slide,  narrative text,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1735","quiz","quiz - Valeria","10","quiz. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about quiz. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1737","Un recorrido por la URJC","Un recorrido por la URJC - María Cruz López de Ayala","28","Logo del Ordic, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Un recorrido por la URJC. Logo del Ordic","0.031746034","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1732","ViSH - Presentación OpenExpo","ViSH - Presentación OpenExpo - Aldo","7","ViSH: Plataforma de e-Learning de código abierto. Presentación para el evento OpenExpo 2015 celebrado en Madrid: http://www.openexpo.es, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., ViSH: Plataforma de e-Learning de código abierto. Presentación para el evento OpenExpo 2015 celebrado en Madrid: http://www.openexpo.es, License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about ViSH - Presentación OpenExpo. ViSH: Plataforma de e-Learning de código abierto. Presentación para el evento OpenExpo 2015 celebrado en Madrid: http://www.openexpo.es","0.18478261","es","en","false","mixed","null","","[lecture,  slide]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1973","Aplita","Aplita - Lorena y Martín","18","Aplita. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Aplita. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/912","Amethyst","Amethyst - 2º ESO IES David Buján","25","Amethyst. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Amethyst. ","0.016393442","en","en","true","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1734","gravità","gravità - Francesco Garino","19","gravità. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about gravità. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1975","Identificación de azúcares reductores","Identificación de azúcares reductores - Club de ciencia","18","Resumen de la investigación realizada por Saray  Boo, Ainara Candal, Tamara Cancela y Martín Villaverde, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Identificación de azúcares reductores. Resumen de la investigación realizada por Saray  Boo, Ainara Candal, Tamara Cancela y Martín Villaverde","0.1891892","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1970","Granito","Granito - Lorena y Martín","18","Granito. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Granito. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/917","Talc","Talc - 2º ESO IES David Buján","25","Talc. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Talc. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1972","Andesita","Andesita - Lorena y Martín","18","Andesita. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Andesita. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1971","Mármol","Mármol - Lorena y Martín","18","Mármol. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Mármol. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/918","Gypsum","Gypsum - 2º ESO IES David Buján","25","Gypsum. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Gypsum. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://educainternet.es/excursions/186","TECNOADICCIONES","TECNOADICCIONES - Delia","8","Decripción y pequeño análisis de las distintas tecnoadicciones., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://educainternet.es/terms_of_use .","Presentación enriquecida (y gratis) sobre TECNOADICCIONES. Decripción y pequeño análisis de las distintas tecnoadicciones.","0.10606061","no value","es","false","mixed","null","","[lecture,  slide,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1768","Foxglove: Poisonous Plant","Foxglove: Poisonous Plant - Karen","8","This course describes foxglove as a poisonous plant. Intended for testing purposed only., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Foxglove: Poisonous Plant. This course describes foxglove as a poisonous plant. Intended for testing purposed only.","0.16901408","en","en","true","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/941","龟兔赛跑","龟兔赛跑 - yucz","7","小学语文课件, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about 龟兔赛跑. 小学语文课件","0.0","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1526","Zubieta","Zubieta - Olatz","8","Nik nire herria azaldu behar dut. Bertan herriaren azalduko dut eta bertako historiak , besta egunak etab., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Zubieta. Nik nire herria azaldu behar dut. Bertan herriaren azalduko dut eta bertako historiak , besta egunak etab.","0.21917808","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
