"uri"	"title"	"description"	"language"	"technical_location"	"edu_interactivityType"	"edu_learningResourceType"	"edu_interactivityLevel"	"edu_typicalAgeRange"
"null"	"Kommentierte Linkliste"	"Kommentierte Linkliste für Unterrichtsmaterialien für den Niederländischunterricht"	"de"	"http://www.nibis.de/nibis.phtml?menid=1023"	"no value"	"no value"	"no value"	"no value"
"null"	"Schullaufbahn-<br>empfehlung"	"Erlass und Kommentare zur Schullaufbahnempfehlung"	"de"	"http://www.nibis.de/nibis.phtml?menid=1038"	"no value"	"no value"	"no value"	"no value"
"null"	"Didaktischer Dienst"	"Der Didaktische Dienst im NiLS hat zur Aufgabe pädagogische Fachkräften fächerbezogene Hilfen zu geben."	"de"	"http://www.nibis.de/nibis.phtml?menid=1041"	"no value"	"no value"	"no value"	"no value"
"null"	"Schul-Projekte"	"Liste solcher Projekte aus der niedersächsischer Schullandschaft, die in den Schulen oder in  übergeordneten Institutionen entwickelt wurden."	"de"	"http://www.nibis.de/nibis.phtml?menid=1047"	"no value"	"no value"	"no value"	"no value"
"null"	"SLQ für neu<br> ernannte SL"	"Informationen zur Qualifizierung von neu ernannten Schulleiterinnen und Schulleitern"	"de"	"http://www.nibis.de/nibis.phtml?menid=1059"	"no value"	"no value"	"no value"	"no value"
"null"	"Software"	"Hier finden Sie Hilfen, Informationen und Downloadmöglichkeiten zur Unterrichts- und Schulverwaltungs-Software"	"de"	"http://www.nibis.de/nibis.phtml?menid=107"	"no value"	"no value"	"no value"	"no value"
"null"	"Mitteilungen"	"  Hilfen und Empfehlungen zur Auswahl und Beschaffung von Unterrichtssoftware"	"de"	"http://www.nibis.de/nibis.phtml?menid=108"	"no value"	"no value"	"no value"	"no value"
"null"	"Erstqualifizierung"	"Konzept (2003 - 2005) für die Erstqualifizierung neu ernannter Schulleiterinnen und Schulleiter"	"de"	"http://www.nibis.de/nibis.phtml?menid=1094"	"no value"	"no value"	"no value"	"no value"
"null"	"Empfehlungen"	"Hilfen und Empfehlungen zur Auswahl und Beschaffung von Unterrichtssoftware"	"de"	"http://www.nibis.de/nibis.phtml?menid=111"	"no value"	"no value"	"no value"	"no value"
"null"	"Kostenlos"	"Hilfen und Empfehlungen zur Auswahl und Beschaffung von kostenloser Unterrichtssoftware"	"de"	"http://www.nibis.de/nibis.phtml?menid=112"	"no value"	"no value"	"no value"	"no value"
"null"	"Zusatzqualifi kationen"	"Zusatzqualifikationen in der beruflichen Erstausbildung, Zertifizierung von Fremdsprachen"	"de"	"http://www.nibis.de/nibis.phtml?menid=1121"	"no value"	"no value"	"no value"	"no value"
"null"	"Informationen rund um die Ausbildung"	"Informationen und Unterstützungsangebote für Schüler, Lehrer und Betriebe rund um die Ausbildung in einem der Handwerksberufe. Ein Berufstarterpaket bietet Tipps zur optimalen Bewerbung und Infos zur Ausbildung."	"de"	"http://www.nibis.de/nibis.phtml?menid=1122"	"no value"	"no value"	"no value"	"no value"
"null"	"Beratung und Fortbildung"	"Vorschulische Sprachförderung, Beratung und Fortbildung"	"de"	"http://www.nibis.de/nibis.phtml?menid=1123"	"no value"	"no value"	"no value"	"no value"
"null"	"Materialien, Medien"	"Materialien, Medien"	"de"	"http://www.nibis.de/nibis.phtml?menid=1124"	"no value"	"no value"	"no value"	"no value"
"null"	"Schulbereich"	"Materialien zur Feststellung des Sprachstandes"	"de"	"http://www.nibis.de/nibis.phtml?menid=1125"	"no value"	"no value"	"no value"	"no value"
"null"	"Deutsch als Zweitsprache"	"Linkliste, Materialien und Medien für Deutsch als Zweitsprache"	"de"	"http://www.nibis.de/nibis.phtml?menid=1127"	"no value"	"no value"	"no value"	"no value"
"null"	"Unterrichtsmaterialien"	"Fördermaterialien"	"de"	"http://www.nibis.de/nibis.phtml?menid=1128"	"no value"	"no value"	"no value"	"no value"
"null"	"DaZ Rahmenrichtlinien"	"DaZ Rahmenrichtlinien"	"de"	"http://www.nibis.de/nibis.phtml?menid=1129"	"no value"	"no value"	"no value"	"no value"
"null"	"Recherche"	"Hilfen und Empfehlungen zur Auswahl und Beschaffung von Unterrichtssoftware durch die Datenbank SODIS"	"de"	"http://www.nibis.de/nibis.phtml?menid=113"	"no value"	"no value"	"no value"	"no value"
"null"	"Materialien, Medien"	"Materialien, Medien"	"de"	"http://www.nibis.de/nibis.phtml?menid=1130"	"no value"	"no value"	"no value"	"no value"
"null"	"Portal Medienkompetenz"	"Fach- und Themenportal für alle Bereiche der Medienbildung. Das Portal bietet neben Graundlageninformationen zur Medienbildung umfangreiche Materialien und Informationen zur Medienbildun g in Schule und au&szlig;erschulischer Bildung an.Medienempfehlungen, Literatur- und Linklisten ergänzen das Angebot."	"de"	"http://www.nibis.de/nibis.phtml?menid=1131"	"no value"	"no value"	"no value"	"no value"
"null"	"Grundlagen"	"Grundlagenmaterialien zur fächer- und medienintegrativen Medienbildung. Ausgangspunkte sind ein historische-antropologisches Verständins der Medienentwicklung und ein erweiterter Medienbegriff."	"de"	"http://www.nibis.de/nibis.phtml?menid=1132"	"no value"	"no value"	"no value"	"no value"
"null"	"Lernen mit Medien"	"Ziel von Medienbildung ist es, Schülerinnen und Schüler für die Wissens- gesellschaft zu qualifizieren. Perspektive ist eine Lernkultur, in deren Zentrum problemorientiertes, selbstgesteuertes und kooperatives Lernen und die Vermittlung von Medienkompetenz stehen. "	"de"	"http://www.nibis.de/nibis.phtml?menid=1133"	"no value"	"no value"	"no value"	"no value"
"null"	"Präsenzsammlung"	"Hilfe zur Auswahl von Unterrichtssoftware: Stöbern und testen Sie interessante Produkte in unserer Softwaresammlung"	"de"	"http://www.nibis.de/nibis.phtml?menid=114"	"no value"	"no value"	"no value"	"no value"
"null"	"Sichtung"	"Hilfen und Empfehlungen zur Auswahl und Beschaffung von Unterrichtssoftware durch Sichten unserer Präsenzsammlung"	"de"	"http://www.nibis.de/nibis.phtml?menid=115"	"no value"	"no value"	"no value"	"no value"
"null"	"Rechtsfragen"	"Informationen und Tipps zu Rechtsfragen im Zusammenhang mit der Nutzung von medien un der Bildungsarbeit und zum Jugen(Medien)schutz."	"de"	"http://www.nibis.de/nibis.phtml?menid=1151"	"no value"	"no value"	"no value"	"no value"
"null"	"Grundschule"	"Hilfen und Empfehlungen zur Auswahl und Beschaffung von Unterrichtssoftware für die Grundschule"	"de"	"http://www.nibis.de/nibis.phtml?menid=116"	"no value"	"no value"	"no value"	"no value"
"null"	"Schulformen"	"Die Schulen der verschiedenen Schulformen sind aufgefordert, schulspezifische Medienkonzepte zu entwickeln, in denen den individuellen Schulprogrammen Rechnung getragen wird. "	"de"	"http://www.nibis.de/nibis.phtml?menid=1199"	"no value"	"no value"	"no value"	"no value"
"null"	"Fächer"	"Medienbildung hat in der Schule nur dann eine Chance, wenn es gelingt, die \\"	"de"	"http://www.nibis.de/nibis.phtml?menid=1200"	"no value"	"no value"	"no value"	"no value"
"null"	"Geschichte"	"Ausgehend von einem Verständnis der Medien als Quellen für die Gewinnung historischer Erkenntnisse gilt es, Ansätze einer curricularen Einbindung in den Geschichtsunterricht zu entwickeln. "	"de"	"http://www.nibis.de/nibis.phtml?menid=1215"	"no value"	"no value"	"no value"	"no value"
"null"	"Deutsch"	"Hilfestellung bei inhaltlichen sowie didaktisch-methodischen Fragen zur Arbeit mit und über Medien im Deutschunterricht zu geben und ein Forum für Anregungen zu bieten, ist Funktion bzw. Ziel dieser Seiten."	"de"	"http://www.nibis.de/nibis.phtml?menid=1224"	"no value"	"no value"	"no value"	"no value"
"null"	"Musik"	"Die Berücksichtigung der neuen Medien in der Musikausbildung ist erforderlich, zum Einen, weil sie zum Alltag gehören, zum Anderen, weil sie das Grundverhältnis des Menschen zur Welt neu bestimmen. "	"de"	"http://www.nibis.de/nibis.phtml?menid=1225"	"no value"	"no value"	"no value"	"no value"
"null"	"Englisch"	"englisch"	"de"	"http://www.nibis.de/nibis.phtml?menid=1226"	"no value"	"no value"	"no value"	"no value"
"null"	"Niederländisch"	"Informationsportal zum Niederländisch als Nachbarsprache"	"de"	"http://www.nibis.de/nibis.phtml?menid=1227"	"no value"	"no value"	"no value"	"no value"
"null"	"PISA"	"Die OECD-Leistungsstudie PISA"	"de"	"http://www.nibis.de/nibis.phtml?menid=1242"	"no value"	"no value"	"no value"	"no value"
"null"	"Bildungsrat"	"Empfehlungen des niedersächsischen Bildungsrates zu bildungspolitischen Zielen, Inhalten und Organisationsformen."	"de"	"http://www.nibis.de/nibis.phtml?menid=1243"	"no value"	"no value"	"no value"	"no value"
"null"	"Medienverständnis"	"Aus historischer Perspekztive wird deutlich, dass durch die technische Integration Medien zusammengeführt werden, deren Entwicklung in denselben klulturellen Kontext einzuordnen ist. In den Medien materialisieren sich medienübergreifend Programme zur Aneignung von \\\\\\\\"	"de"	"http://www.nibis.de/nibis.phtml?menid=1252"	"no value"	"no value"	"no value"	"no value"
"null"	"Apollon13"	"- ist eine Schulverwaltungssoftware für die Erfassung und Verwaltung der Schülerstammdaten sowie der Schülerleistungen der SEKII. Es wird allen öffentlichen niedersächsischen allgemein bildenden Schulen mit gymnasialen Oberstufen vom Land unentgeltlich zur Verfügung gestellt."	"de"	"http://www.nibis.de/nibis.phtml?menid=1280"	"no value"	"no value"	"no value"	"no value"
"null"	"KonForm"	"- ist eine Verwaltungssoftware für die Erfassung und Verwaltung entgeltlich ausgeliehenen Lernmittel Es wird allen öffentlichen niedersächsischen allgemein bildenden Schulen vom Land unentgeltlich zur Verfügung gestellt."	"de"	"http://www.nibis.de/nibis.phtml?menid=1281"	"no value"	"no value"	"no value"	"no value"
"null"	"Sibank"	"- ist eine Schulverwaltungssoftware für die Erfassung und Verwaltung der Schülerstammdaten. Es wird allen öffentlichen niedersächsischen allgemein bildenden Schulen vom Land unentgeltlich zur Verfügung gestellt."	"de"	"http://www.nibis.de/nibis.phtml?menid=1283"	"no value"	"no value"	"no value"	"no value"
"null"	"Evaluation <br>(2007)"	"Evaluationsbericht SLQ 2007"	"de"	"http://www.nibis.de/nibis.phtml?menid=1308"	"no value"	"no value"	"no value"	"no value"
"null"	"Religion"	"Hinweise und Materialien zum Lernen mit Medien im Religionsunterricht"	"de"	"http://www.nibis.de/nibis.phtml?menid=1309"	"no value"	"no value"	"no value"	"no value"
"null"	"Politik"	"Hinweise und Materialien zum Lernen mit Medien im Politikunterricht"	"de"	"http://www.nibis.de/nibis.phtml?menid=1310"	"no value"	"no value"	"no value"	"no value"
"null"	"Sprachstand"	"Sprachstandsfeststellungsverfahren"	"de"	"http://www.nibis.de/nibis.phtml?menid=1317"	"no value"	"no value"	"no value"	"no value"
"null"	"Vorbereitung"	"Vorbereitung, Mterialien zur vorschulischen Sprachförderung"	"de"	"http://www.nibis.de/nibis.phtml?menid=1318"	"no value"	"no value"	"no value"	"no value"
"null"	"Foerderplanung"	"Pädagogische Beobachtung und individuelle Förderplanung"	"de"	"http://www.nibis.de/nibis.phtml?menid=1319"	"no value"	"no value"	"no value"	"no value"
"null"	"Elternarbeit"	"Elternarbeit"	"de"	"http://www.nibis.de/nibis.phtml?menid=1320"	"no value"	"no value"	"no value"	"no value"
"null"	"Kooperation  Grundschule und Kindergarten"	"In diesem Bereich finden Sie Materialien für die Kooperation von Grundschule mit Kindertagesstätten und Kindergärten bei der vorschulischen Sprachförderung."	"de"	"http://www.nibis.de/nibis.phtml?menid=1322"	"no value"	"no value"	"no value"	"no value"
"null"	"Deutsch"	"Die Seiten des nibis zum Fach Deutsch sind nach Medien geordnet. Es geht um den Einsatz von Film, Computer und Printmedien im Deutschunterricht der Sekundarstufe. Natürlich aber sind Methoden und Inhalte hier kaum zu trennen: ein Blick lohnt sich also in jedem Fall."	"de"	"http://www.nibis.de/nibis.phtml?menid=1329"	"no value"	"no value"	"no value"	"no value"
"null"	"Gebärdensprache"	"Hier werden Sie weitergeleitet auf die Seite des entsprechenden Fachverbandes."	"de"	"http://www.nibis.de/nibis.phtml?menid=1332"	"no value"	"no value"	"no value"	"no value"
"null"	"Fortbildung"	"Qualifizierungsangebot für Lehrkräfte an berufsbildenden Schulen in Niedersachsen"	"de"	"http://www.nibis.de/nibis.phtml?menid=134"	"no value"	"no value"	"no value"	"no value"
"null"	"Kunsterziehung"	"Medien im Fach Kunst in Niedersachsen"	"de"	"http://www.nibis.de/nibis.phtml?menid=1349"	"no value"	"no value"	"no value"	"no value"
"null"	"Politische Bildung"	"Sammlung von Online-Texten der ehemaligen Niedersächsischen Landeszentrale für politische Bildung"	"de"	"http://www.nibis.de/nibis.phtml?menid=1369"	"no value"	"no value"	"no value"	"no value"
"null"	"Schule ohne Rassismus"	"Niedersächsische Schulprojekte gegen Rassismus"	"de"	"http://www.nibis.de/nibis.phtml?menid=1370"	"no value"	"no value"	"no value"	"no value"
"null"	"Chat der Welten"	"Chat der Welten"	"de"	"http://www.nibis.de/nibis.phtml?menid=1377"	"no value"	"no value"	"no value"	"no value"
"null"	"Projekte, Materialien"	"Projekte, Materialien"	"de"	"http://www.nibis.de/nibis.phtml?menid=1378"	"no value"	"no value"	"no value"	"no value"
"null"	"Biologie"	"Lernen mit neuen Medien im Biologieunterricht"	"de"	"http://www.nibis.de/nibis.phtml?menid=1381"	"no value"	"no value"	"no value"	"no value"
"null"	"Beruflich Reisende"	"mobile Vertrauenslehrkräfte, Schultagebuch, Zirkus, Schausteller"	"de"	"http://www.nibis.de/nibis.phtml?menid=1384"	"no value"	"no value"	"no value"	"no value"
"null"	"Bildung für nach-<br>haltige Entwicklung"	"Zusammen mit 12 weiteren Bundesländern beteiligt sich Niedersachsen an dem 4-jährigen Programm der Bund-Länder-Kommission für Bildungsplanung und Forschungsförderung (BLK) "	"de"	"http://www.nibis.de/nibis.phtml?menid=1385"	"no value"	"no value"	"no value"	"no value"
"null"	"Beruflich Reisende"	"Betreuung der Kinder von beruflich Reisenden in Niedersachsen"	"de"	"http://www.nibis.de/nibis.phtml?menid=1386"	"no value"	"no value"	"no value"	"no value"
"null"	"Eine Welt der Vielfalt"	"Eine Welt der Vielfalt"	"de"	"http://www.nibis.de/nibis.phtml?menid=1387"	"no value"	"no value"	"no value"	"no value"
"null"	"Downloads"	"Downloadbereich der SVSW"	"de"	"http://www.nibis.de/nibis.phtml?menid=1391"	"no value"	"no value"	"no value"	"no value"
"null"	"Lemi"	"Programm zur Lernmittelausleihe auf MySQL-Basis"	"de"	"http://www.nibis.de/nibis.phtml?menid=1392"	"no value"	"no value"	"no value"	"no value"
"null"	"Unt.-Software"	"Hilfen und Empfehlungen zur Auswahl und Beschaffung von Unterrichtssoftware"	"de"	"http://www.nibis.de/nibis.phtml?menid=1393"	"no value"	"no value"	"no value"	"no value"
"null"	"Gewalt an Schulen"	"Das Portal dient als Informationsbasis sowohl Schüler, Lehrer und Eltern zum besagten Thema."	"de"	"http://www.nibis.de/nibis.phtml?menid=1397"	"no value"	"no value"	"no value"	"no value"
"null"	"Arbeitsschutz"	"Sicherheit und Gesundheitsschutz bei der Arbeit der Landesbediensteten in Schulen und Studienseminaren"	"de"	"http://www.nibis.de/nibis.phtml?menid=1405"	"no value"	"no value"	"no value"	"no value"
"null"	"Comenius3 - GET-IN"	"Dieses  Comenius 3- Projekt ist ein Netzwerkprojekt. Teilnehmer aus den Ländern Niederlande, Gro&szlig;britannien, Ungarn, Schweden, Frankreich, Türkei und Deutschland wollen über 3 Jahre zusammenarbeiten, um die Integration von Migrantinnen und Migranten an den Schulen, also von Schülerinnen und Schülern mit anderer Herkunftssprache oder aus anderen Herkunftsländern durch die Beteiligung an internationalen Projekten zu fördern."	"de"	"http://www.nibis.de/nibis.phtml?menid=1412"	"no value"	"no value"	"no value"	"no value"
"null"	"Online- Materialien"	"Online- Materialien"	"de"	"http://www.nibis.de/nibis.phtml?menid=1418"	"no value"	"no value"	"no value"	"no value"
"null"	"Zusammenarbeit Kindergarten - Grundschule"	"In diesem Portal werden die wesentlichen Materialien und Internetlinks für die Zusammenarbeit dokumentiert, ein Diskussionsforum für aktuelle Fragen zur Verfügung gestellt und Hinweise auf Veranstaltungen gegeben."	"de"	"http://www.nibis.de/nibis.phtml?menid=1435"	"no value"	"no value"	"no value"	"no value"
"null"	"Grundschulportal"	"Zweck dieses Arbeitsbereiches ist die Beratung von Lehrkräften zum Einsatz von Computern in Grundschulen. Hier finden Sie Informationen, Verweise, Materialien, Unterrichtsbeispiele und Beratungsunterlagen."	"de"	"http://www.nibis.de/nibis.phtml?menid=1436"	"no value"	"no value"	"no value"	"no value"
"null"	"Erlasse, Verordnungen, Informationen"	"Erlasse, Verordnungen, Informationen"	"de"	"http://www.nibis.de/nibis.phtml?menid=1439"	"no value"	"no value"	"no value"	"no value"
"null"	"Erkennen und Beraten"	"Ansprechpartner für Lehrkräfte und Eltern, die Informationen und Beratung über das frühzeitige Erkennen und Fördern von besonderen Begabungen anbieten."	"de"	"http://www.nibis.de/nibis.phtml?menid=1441"	"no value"	"no value"	"no value"	"no value"
"null"	"Kooperationsverbünde"	"Auch hoch begabte Kinder benötigen in der Schule Unterstützung und Förderung, um ihre Begabung entfalten zu können. Grundschulen, Orientierungsstufen und Gymnasien haben sich zu Kooperationsverbünden zusammengeschlossen, um besonders begabte Mädchen und Jungen von der Grundschule an zu fördern und zu begleiten. "	"de"	"http://www.nibis.de/nibis.phtml?menid=1446"	"no value"	"no value"	"no value"	"no value"
"null"	"Zettelkasten"	"Denkanstö&szlig;e und Beispiele, die Unterrichtsentwicklung mit Blick auf Individualisierung/Hochbegabungsförderung unterstützen können."	"de"	"http://www.nibis.de/nibis.phtml?menid=1447"	"no value"	"no value"	"no value"	"no value"
"null"	"- Informationen"	"Denkanstö&szlig;e und Beispiele, die Unterrichtsentwicklung mit Blick auf Individualisierung/Hochbegabungsförderung unterstützen können."	"de"	"http://www.nibis.de/nibis.phtml?menid=1452"	"no value"	"no value"	"no value"	"no value"
"null"	"- Selbststeuerung"	"Denkanstö&szlig;e und Beispiele, die Unterrichtsentwicklung mit Blick auf Individualisierung/Hochbegabungsförderung unterstützen können."	"de"	"http://www.nibis.de/nibis.phtml?menid=1453"	"no value"	"no value"	"no value"	"no value"
"null"	"Fördern und Unterstützen"	"Ansprechpartner für Lehrkräfte und Eltern, die Informationen und Beratung über das frühzeitige Erkennen und Fördern von besonderen Begabungen anbieten."	"de"	"http://www.nibis.de/nibis.phtml?menid=1454"	"no value"	"no value"	"no value"	"no value"
"null"	"Begleiten"	"Ansprechpartner für Lehrkräfte und Eltern, die Informationen und Beratung über das frühzeitige Erkennen und Fördern von besonderen Begabungen anbieten."	"de"	"http://www.nibis.de/nibis.phtml?menid=1455"	"no value"	"no value"	"no value"	"no value"
"null"	"Berufsorientierung"	"Informationen und Links zur Berufsorientierung an niedersächsischen Schulen"	"de"	"http://www.nibis.de/nibis.phtml?menid=1458"	"no value"	"no value"	"no value"	"no value"
"null"	"Berufsorientierung in Schule"	"schulische Konzepte zur Berufsorientierung"	"de"	"http://www.nibis.de/nibis.phtml?menid=1459"	"no value"	"no value"	"no value"	"no value"
"null"	"Gender, Beruf und Literatur"	"Kleine Literaturauswahl"	"de"	"http://www.nibis.de/nibis.phtml?menid=1461"	"no value"	"no value"	"no value"	"no value"
"null"	"Betriebs- o. Praxistage"	"Informationen zu neuem Grundsatzerlass für die Hauptschule, Schwerpunkt Berufsorientierung"	"de"	"http://www.nibis.de/nibis.phtml?menid=1463"	"no value"	"no value"	"no value"	"no value"
"null"	"Berufsorientierung"	"Berufsorientierung"	"de"	"http://www.nibis.de/nibis.phtml?menid=1465"	"no value"	"no value"	"no value"	"no value"
"null"	"Gymnasium"	"Informationen zur Schulform, gebündelt verfügbar"	"de"	"http://www.nibis.de/nibis.phtml?menid=1466"	"no value"	"no value"	"no value"	"no value"
"null"	"Wirtschaft"	"Zusammenführung aller Fächer die direkten Bezug zum Thema Wirtschaft haben"	"de"	"http://www.nibis.de/nibis.phtml?menid=1478"	"no value"	"no value"	"no value"	"no value"
"null"	"Mathematik an Gymnasien"	"Projekt MUT arbeit mit MulttiplikatorInnen und entwickelt Material für den Unterricht"	"de"	"http://www.nibis.de/nibis.phtml?menid=1487"	"no value"	"no value"	"no value"	"no value"
"null"	"AWT"	"Fachbereich AWT"	"de"	"http://www.nibis.de/nibis.phtml?menid=1489"	"no value"	"no value"	"no value"	"no value"
"null"	"MUT"	"landesweites Vorhaben Mathematik"	"de"	"http://www.nibis.de/nibis.phtml?menid=1498"	"no value"	"no value"	"no value"	"no value"
"null"	"Gender und Gymnasium"	"Die Berufswahlorientierung von Studentinnen zeigt, das die Verbindung von Berufs- und Lebensplanung zu Entscheidungen führt, die Frauen von der Universität als Berufsfeld fern halten."	"de"	"http://www.nibis.de/nibis.phtml?menid=1504"	"no value"	"no value"	"no value"	"no value"
"null"	"Gender"	"Aktuelle Informationen zu Weiterentwicklung der Diskussion in den Schulen"	"de"	"http://www.nibis.de/nibis.phtml?menid=1508"	"no value"	"no value"	"no value"	"no value"
"null"	"Genderkompetenz"	"Begriffsklärung, Verweis auf VOrtrag"	"de"	"http://www.nibis.de/nibis.phtml?menid=1509"	"no value"	"no value"	"no value"	"no value"
"null"	"Berufsorientierung"	"Der neue Erlass fordert Schulen auf, den Gender-Aspekt bei allen berufsorientierenden Vorhaben in der Schule zu beachten und den Zukunftstag in das schulische Konzept zur Berufsorientierung einzubinden und aktiv zu gestalten."	"de"	"http://www.nibis.de/nibis.phtml?menid=1510"	"no value"	"no value"	"no value"	"no value"
"null"	"Gender und Grundschule"	"Gender, Grundschule, nli.-Bericht"	"de"	"http://www.nibis.de/nibis.phtml?menid=1511"	"no value"	"no value"	"no value"	"no value"
"null"	"Gender und Grundschule"	"Grundschule, Gender, nli-Bericht"	"de"	"http://www.nibis.de/nibis.phtml?menid=1512"	"no value"	"no value"	"no value"	"no value"
"null"	"Gender und Migration"	"Informationen zu Thematik"	"de"	"http://www.nibis.de/nibis.phtml?menid=1513"	"no value"	"no value"	"no value"	"no value"
"null"	"Gender und Literatur"	"Aktuelle Literatur zum Thema Gender und Schule, Berufsorientierung, Gender Mainstream und Schule. Links, Verweise"	"de"	"http://www.nibis.de/nibis.phtml?menid=1516"	"no value"	"no value"	"no value"	"no value"
"null"	"Gender und Gymnasium"	"Das Gymnasium mit dem Abiturabschluss eröffnet die berufliche Perspektive auf Berufe, die eine akademische Grundbildung erfordern. Es gibt inzwischen mehr Mädchen an Gymnasien als Jungen. Sie machen die besseren Abschlüsse. Das Berufswahlspektrum hat sich bisher nicht nennenswert erweitert und Mädchen nutzen die am Gymnasium erworbene gute Qualifikation nur selten für eine z. B. akademische Laufbahn."	"de"	"http://www.nibis.de/nibis.phtml?menid=1521"	"no value"	"no value"	"no value"	"no value"
"null"	"Selbstlernmodul"	"Modul mit drei Einheiten zum Themenfeld \\"	"de"	"http://www.nibis.de/nibis.phtml?menid=1540"	"no value"	"no value"	"no value"	"no value"
"null"	"Konfiguration"	"Konfigurationsdaten für den Mail- und FTP-Zugang zum Niedersächsischen Bildungsserver (NiBiS)"	"de"	"http://www.nibis.de/nibis.phtml?menid=1552"	"no value"	"no value"	"no value"	"no value"
